,location,district,rooms,size,level,max_levels,price
0,"город Ташкент, Юнусабадский район, Юнусабад 8-й квартал",Юнусабадский,3,57.0,4,4,52000.0
1,"город Ташкент, Яккасарайский район, 1-й тупик Шота Руставели",Яккасарайский,2,52.0,4,5,56000.0
2,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,42.0,4,4,37000.0
3,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,65.0,1,4,49500.0
4,"город Ташкент, Чиланзарский район, площадь Актепа",Чиланзарский,3,70.0,3,5,55000.0
5,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,1,28.0,1,4,25500.0
6,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,30.0,2,4,21200.0
7,"город Ташкент, Яккасарайский район, Саламатина",Яккасарайский,2,32.0,5,5,20000.0
8,"город Ташкент, Учтепинский район, Чиланзар-21",Учтепинский,2,51.0,3,4,26200.0
9,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,1,30.0,1,4,22200.0
10,"город Ташкент, Учтепинский район, Чиланзар-14",Учтепинский,2,30.0,2,5,24200.0
11,"город Ташкент, Чиланзарский район, Чиланзар-20",Чиланзарский,3,67.0,2,5,30200.0
12,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,1,30.0,2,4,21200.0
13,"город Ташкент, Чиланзарский район, Чиланзар-16",Чиланзарский,1,30.0,2,4,21200.0
14,"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,30.0,2,4,21200.0
15,"город Ташкент, Чиланзарский район, Чиланзар-19",Чиланзарский,1,35.0,1,5,22500.0
16,"город Ташкент, Чиланзарский район, Г9а",Чиланзарский,1,43.0,4,4,22500.0
17,"город Ташкент, Чиланзарский район, Чиланзар-7",Чиланзарский,2,51.0,2,4,21200.0
18,"город Ташкент, Мирзо-Улугбекский район, Феруза",Мирзо-Улугбекский,3,65.0,1,4,32500.0
19,"город Ташкент, Чиланзарский район, Чиланзар-17",Чиланзарский,2,51.0,2,4,22200.0
20,"город Ташкент, Чиланзарский район, Чиланзар-9",Чиланзарский,2,51.0,2,4,24200.0
21,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,4,90.0,5,5,45000.0
22,"город Ташкент, Чиланзарский район, 1-й проезд Заргарлик",Чиланзарский,4,80.0,3,4,56000.0
23,"город Ташкент, Яшнободский район, Садыка Азимова (Жуковского) ",Яшнободский,2,70.0,5,5,47000.0
24,"город Ташкент, Мирзо-Улугбекский район, ТТЗ-4",Мирзо-Улугбекский,3,69.0,1,4,49900.0
25,"город Ташкент, Мирабадский район, Афросиёб",Мирабадский,3,80.0,2,4,76000.0
26,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,3,96.0,3,4,65000.0
27,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,76.0,4,4,47500.0
28,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал",Учтепинский,2,45.0,4,5,30000.0
29,"город Ташкент, Чиланзарский район, Чиланзар 5-й квартал",Чиланзарский,1,27.0,3,4,32000.0
30,"город Ташкент, Учтепинский район, Чиланзар 30-й квартал",Учтепинский,2,65.0,3,9,44000.0
31,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,64.0,3,4,56500.0
32,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,42.0,5,9,35000.0
33,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,26.0,2,4,23500.0
34,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,4,76.0,5,5,60500.0
35,"город Ташкент, Чиланзарский район, Чиланзар квартал 20Д",Чиланзарский,3,80.0,2,4,68000.0
36,"город Ташкент, Чиланзарский район, 1-й проезд Лутфи",Чиланзарский,3,72.0,5,5,41500.0
37,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100.0,3,12,55000.0
38,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,3,65.0,4,4,44000.0
39,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,4,80.0,3,4,52500.0
40,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,72.0,6,9,43000.0
41,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,2,65.0,1,4,80000.0
42,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,63.0,1,5,42000.0
43,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48.0,5,9,23000.0
44,"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,3,70.0,3,4,47000.0
45,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,3,102.0,7,12,88784.0
46,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,4,78.0,2,4,65000.0
47,"город Ташкент, Чиланзарский район, Чиланзар квартал И",Чиланзарский,4,100.0,1,4,97000.0
48,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,1,34.0,1,4,28500.0
49,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,42.0,2,4,34500.0
50,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,80.0,4,5,51000.0
51,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,90.0,1,12,51000.0
52,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,45.0,2,4,48000.0
53,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,70.0,5,5,40000.0
54,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,96.0,7,9,67000.0
55,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,80.0,4,5,68000.0
56,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,63.0,1,4,40500.0
57,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,2,56.0,4,5,54000.0
58,"город Ташкент, Учтепинский район, Чиланзар 22-й квартал",Учтепинский,2,52.0,1,4,36000.0
59,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,98.0,2,4,68000.0
60,"город Ташкент, Чиланзарский район, Бешёгоч",Чиланзарский,3,96.0,9,9,63000.0
61,"город Ташкент, Шайхантахурский район, Актепа",Шайхантахурский,4,93.0,4,4,63500.0
62,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Шайхантахурский,2,60.0,9,9,49500.0
63,"город Ташкент, Чиланзарский район, Чиланзарский район массив Аль-Хорезми-2",Чиланзарский,5,82.0,4,4,70000.0
64,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,5,120.0,9,9,52000.0
65,"город Ташкент, Учтепинский район, Чиланзар 15-й квартал",Учтепинский,4,110.0,3,3,91000.0
66,"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,4,95.0,2,4,83000.0
67,"город Ташкент, Учтепинский район, 4-й проезд Курувчи",Учтепинский,2,56.0,1,4,40500.0
68,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,68.0,3,4,48000.0
69,"город Ташкент, Олмазорский район, Себзар",Олмазорский,2,57.0,3,4,42000.0
70,"город Ташкент, Яшнободский район, Жаркургон",Яшнободский,1,46.0,11,11,19765.0
71,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,2,45.0,4,4,34500.0
72,"город Ташкент, Юнусабадский район, Юнусабад 10-й квартал",Юнусабадский,2,40.0,1,9,40000.0
73,"город Ташкент, Мирзо-Улугбекский район, Хумаюн",Мирзо-Улугбекский,3,95.0,5,5,50000.0
74,"город Ташкент, Юнусабадский район, Кашгар",Юнусабадский,2,53.0,1,9,68000.0
75,"город Ташкент, Олмазорский район, Карасарайская",Олмазорский,2,72.0,4,9,41500.0
76,"город Ташкент, Мирзо-Улугбекский район, Буз-1 (Буз базар) ",Мирзо-Улугбекский,3,65.0,4,5,41500.0
77,"город Ташкент, Юнусабадский район, ц-4 Кашгар (Ц-4) ",Юнусабадский,4,82.0,1,4,86000.0
78,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42.0,3,9,25500.0
79,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,54.0,4,4,31500.0
80,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,42.0,1,4,26500.0
81,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,1,20.0,3,9,14500.0
82,"город Ташкент, Чиланзарский район, Чиланзар 6-й квартал",Чиланзарский,2,45.0,4,4,45000.0
83,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,46.0,2,5,30000.0
84,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,2,50.0,2,4,34500.0
85,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,1,36.0,2,4,27000.0
86,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,4,80.0,6,9,59500.0
87,"город Ташкент, Учтепинский район, Кизил Шарк",Учтепинский,3,72.0,3,9,48000.0
88,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,78.0,5,5,47299.0
89,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,46.0,4,5,37000.0
90,"город Ташкент, Чиланзарский район, Чиланзар-8",Чиланзарский,2,60.0,2,4,38000.0
91,"город Ташкент, Олмазорский район, 15-й проезд Сагбан",Олмазорский,2,58.0,5,9,29500.0
92,"город Ташкент, Чиланзарский район, Чиланзар 10-й квартал",Чиланзарский,2,70.0,2,7,56000.0
93,"город Ташкент, Яккасарайский район, 1-й проезд Мукими",Яккасарайский,2,68.0,6,9,45000.0
94,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,100.0,3,5,61500.0
95,"город Ташкент, Чиланзарский район, Мукими",Чиланзарский,3,68.0,5,5,46500.0
96,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,3,70.0,4,12,51000.0
97,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,90.0,5,9,58400.0
98,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,60.0,5,5,47000.0
99,"город Ташкент, Учтепинский район, Чиланзар 31-й квартал",Учтепинский,4,80.0,5,5,52500.0
100,"город Ташкент, Учтепинский район, Гулистон",Учтепинский,3,74.0,3,5,50000.0
101,"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,2,48.0,2,5,41500.0
102,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,4,94.0,9,9,45000.0
103,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,3,65.0,4,9,47500.0
104,"город Ташкент, Чиланзарский район, Наккашлык",Чиланзарский,4,85.0,3,4,52500.0
105,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,1,42.0,5,5,26000.0
106,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,110.0,3,4,105000.0
107,"город Ташкент, Учтепинский район, Чиланзар квартал Г9А",Учтепинский,3,70.0,4,4,42000.0
108,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,3,68.0,2,5,53500.0
109,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,2,48.0,5,9,23000.0
110,"город Ташкент, Яшнободский район, Ташсельмаш",Яшнободский,1,20.0,3,3,12500.0
111,"город Ташкент, Мирабадский район, Тараса Шевченко",Мирабадский,3,110.0,4,7,107000.0
112,"город Ташкент, Чиланзарский район, Чиланзар 19-й квартал",Чиланзарский,2,46.0,3,4,35000.0
113,"город Ташкент, Чиланзарский район, Чиланзар квартал Ц",Чиланзарский,4,125.0,5,5,70000.0
114,"город Ташкент, Мирзо-Улугбекский район, площадь Хамида Алимджана",Мирзо-Улугбекский,2,72.0,18,19,55000.0
115,"город Ташкент, Мирзо-Улугбекский район, Алтынтепа",Мирзо-Улугбекский,2,64.67,7,9,39414.0
116,"город Ташкент, Юнусабадский район, Чинабад",Юнусабадский,2,70.0,4,9,60000.0
